Run Date Resolution
6337 2018-09-21 4.29297969782388
6338 2018-09-22 3.806846961125444
6339 2018-09-22 3.809884591068632
6340 2018-09-23 4.07131147951905
6341 2018-09-24 3.78760487080458
6342 2018-09-25 3.86731788455395
6344 2018-09-26 4.49740786227181
6345 2018-09-27 3.803634424342209
6346 2018-09-28 3.711483023530185
6347 2018-09-29 3.76898059050453
6348 2018-09-30 3.78509936562634
6349 2018-10-01 3.758569686008984
6350 2018-10-02 3.774677686723842
6351 2018-10-03 3.76289241131088
6352 2018-10-04 3.76457690949162
6353 2018-10-05 3.717515301833677
6364 2018-10-06 3.74548256886049
6365 2018-10-07 3.70375655526141
6366 2018-10-07 3.949631708795085
6367 2018-10-08 5.39078846093566
6370 2018-10-09 3.87066407093881
6371 2018-10-10 3.731909173754709
6372 2018-10-11 3.798946577622049
6373 2018-10-12 3.796478878342768
6374 2018-10-13 3.75585446243052
6375 2018-10-14 3.831655353685256
6376 2018-10-15 3.816478754346097
6377 2018-10-16 3.79987511425243
6380 2018-10-17 3.83934242570173
6381 2018-10-18 3.83846222831652
6382 2018-10-19 3.801637432474018
6383 2018-10-20 3.79010654781311
6384 2018-10-21 3.796680582990683
6388 2018-10-23 3.74541868449757
6390 2018-10-24 3.896448906998964
6400 2018-10-24 8.5416768122059
6401 2018-10-24 7.70028575349826
6402 2018-10-24 5.32358851747466
6403 2018-10-25 3.84812817128478
6406 2018-10-26 3.714195343772974
6407 2018-10-27 3.74123200085775
6412 2018-11-01 3.70241174498597
6413 2018-11-02 3.657408880038356
6414 2018-11-03 3.773716458934052
6416 2018-11-04 3.83170104275941
6417 2018-11-05 3.766311238538687
6477 2018-11-15 4.2134412859412
6478 2018-11-15 3.68951486688
6479 2018-11-16 3.77561639628039
6482 2018-11-18 3.62945996310638
6483 2018-11-19 3.68336073114501
6484 2018-11-20 3.602279156657181
6485 2018-11-21 3.61136910593774
6486 2018-11-22 3.916080819623297
6495 2018-11-22 3.708692676672449
6579 2018-12-27 4.75218360564619
6582 2018-12-31 3.72665200005614
6735 2019-01-18 3.768199022750557
6817 2019-01-24 3.97803569576671
6820 2019-01-25 13.14952539917514
6822 2019-01-27 3.763535642415261
6823 2019-01-28 3.8584921658784
6826 2019-01-28 3.7572270464733
6828 2019-01-29 3.791566542353158
6834 2019-02-03 3.782608931374345
6928 2019-02-14 3.77499194635562
6937 2019-02-17 3.69356183235159
6938 2019-02-18 3.803682794690441
6953 2019-02-21 3.761897397417086
6955 2019-02-21 3.63309827950882
6971 2019-02-26 3.80809994288425
6972 2019-02-27 3.81387950179251
6973 2019-02-28 3.71626237171261
6976 2019-03-01 3.76849414168442
6977 2019-03-02 3.802785242939378
6978 2019-03-02 3.67750754992947
6988 2019-03-05 3.827195500113597
6990 2019-03-06 3.80710103832116
6992 2019-03-08 3.79980939689788
6993 2019-03-09 3.80023050369595
6994 2019-03-10 3.777325468728254
6995 2019-03-10 3.74219314944522
6996 2019-03-11 3.73086049517385
6997 2019-03-12 3.77289160079167
7002 2019-03-14 3.774560864394012
7005 2019-03-14 3.789296271011418
7006 2019-03-15 3.82172637418439
7007 2019-03-16 3.858792638261604
7010 2019-03-17 4.27379490556103
7011 2019-03-18 3.82166289826417
7012 2019-03-19 3.80528561048679
7013 2019-03-21 3.832539165836524
7014 2019-03-22 3.74829790164344
7015 2019-03-23 3.833942980989661
7016 2019-03-24 3.776270567153618
7017 2019-03-24 7.05907453934823
7018 2019-03-25 6.355570941566262
7023 2019-03-25 3.70075636070825
7036 2019-03-27 3.74921944943753
7037 2019-03-28 3.791867321246859
7038 2019-03-29 3.74378350305457
7039 2019-03-30 3.807291799093212
7042 2019-04-01 3.90135210601405
7044 2019-04-03 3.829533335687993
7046 2019-04-04 3.82925270459775
7047 2019-04-05 3.774743376006642
7049 2019-04-07 3.84557727114158
7050 2019-04-09 3.738069972811147
7065 2019-04-10 3.822841579554566
7066 2019-04-11 3.88682455943499
7067 2019-04-12 3.832650835885819
7069 2019-04-13 3.806601160832513
7070 2019-04-14 3.777306247705209
7071 2019-04-15 3.78641558129274
7072 2019-04-16 3.79071755729719
7073 2019-04-17 3.78189091346238
7074 2019-04-18 3.80263771556758
7075 2019-04-19 3.76238505702774
7079 2019-04-20 3.789499548942493
7084 2019-04-23 3.760930235482598
7085 2019-04-23 3.879765799425039
7086 2019-04-25 3.794514048200099
7087 2019-04-26 3.697920346458293
7088 2019-04-26 3.792755282872458
7089 2019-04-29 3.739542705569931
7090 2019-04-30 3.772310062793041
7091 2019-05-01 3.696089067716664
7092 2019-05-02 3.71195028012963
7094 2019-05-03 3.67401667160311
7095 2019-05-04 3.76330780958028
7096 2019-05-05 3.70150069432678
7097 2019-05-06 3.70039755296554
