Run Date Resolution
6928 2019-02-14 3.77960231342552
6938 2019-02-18 3.80854877654291
6953 2019-02-21 3.75594301250848
6955 2019-02-21 3.605590237835119
6971 2019-02-26 3.8007363977432
6972 2019-02-27 3.810037354185676
6973 2019-02-28 3.7188759797133
6976 2019-03-01 3.77308046113803
6977 2019-03-02 3.79940237935437
6978 2019-03-02 3.65296674409518
6988 2019-03-05 3.829130612428681
6990 2019-03-06 3.804472629199675
6992 2019-03-08 3.77754173008679
6993 2019-03-09 3.798310933408469
6994 2019-03-10 3.764470308638552
6995 2019-03-10 3.75211150712886
6996 2019-03-11 3.72132087793324
6997 2019-03-12 3.75927280539837
7002 2019-03-14 3.792698849849401
7005 2019-03-14 3.793601794358887
7006 2019-03-15 3.79351400960374
7007 2019-03-16 3.84910938273078
7010 2019-03-17 4.28818447836551
7011 2019-03-18 3.80694326438051
7012 2019-03-19 3.789482485723063
7013 2019-03-21 3.8302765756401
7014 2019-03-22 3.775059188857194
7015 2019-03-23 3.83484352901264
7016 2019-03-24 3.770690805632266
7017 2019-03-24 7.05982590937188
7018 2019-03-25 6.34556648505511
7023 2019-03-25 3.70075636070825
7036 2019-03-27 3.753105538898858
7037 2019-03-28 3.78797151128897
7038 2019-03-29 3.743610688821582
7039 2019-03-30 3.79234923355298
7042 2019-04-01 3.90540163327722
7044 2019-04-03 3.83097346464364
7046 2019-04-04 3.826240674400591
7047 2019-04-05 3.77311342404618
7049 2019-04-07 3.84364362920142
7050 2019-04-09 3.8048696956278
7065 2019-04-10 3.81110424748292
7066 2019-04-11 3.88748466920595
7067 2019-04-12 3.81047813772701
7069 2019-04-13 3.80163073559777
7070 2019-04-14 3.77356392803893
7071 2019-04-15 3.769098312604907
7072 2019-04-16 3.793797699402118
7073 2019-04-17 3.77779962960765
7074 2019-04-18 3.79288320699749
7075 2019-04-19 3.7593305477958
7079 2019-04-20 3.76983285307852
7084 2019-04-23 3.853539445907
7085 2019-04-23 3.88001517255946
7086 2019-04-25 3.790376539743512
7087 2019-04-26 3.80353499472139
7088 2019-04-26 3.785110946778545
7089 2019-04-29 3.833053438023027
7090 2019-04-30 3.892558737793424
7091 2019-05-01 3.79107815424143
7092 2019-05-02 3.79483913809583
7094 2019-05-03 3.772714123271646
7095 2019-05-04 3.86325070886187
7096 2019-05-05 3.792648155071234
7097 2019-05-06 3.80049594265052
7101 2019-05-07 3.806805095766158
7102 2019-05-07 3.753483182715464
7104 2019-05-09 3.84495931240848
7105 2019-05-10 3.781409603992527
7106 2019-05-10 3.835885989772192
7107 2019-05-12 3.833763550436257
7108 2019-05-13 3.805540385868777
7109 2019-05-13 9.51654588094827
7112 2019-05-14 3.768535800440506
7113 2019-05-15 3.7948561243672
7114 2019-05-16 3.81826640017249
7115 2019-05-17 3.79775812537768
7116 2019-05-18 3.73425884789295
7117 2019-05-19 3.836114751415333
7118 2019-05-20 3.81119528252447
7121 2019-05-21 3.77853314277245
7122 2019-05-22 3.776639847306048
7123 2019-05-23 3.813571316822257
